timestamp,temperature
1515873600,2.0
1515877200,2.5
1515880800,3.3
1515884400,2.8
1515888000,3.0
1515891600,3.3
1515895200,3.4
1515898800,3.3
1515902400,3.0
1515906000,2.8
1515909600,2.6
1515913200,2.5
1515916800,2.6
1515920400,3.1
1515924000,4.0
1515927600,4.9
1515931200,4.8
1515934800,4.8
1515938400,4.3
1515942000,3.2
1515945600,2.8
1515949200,2.2
1515952800,2.1
1515956400,1.9
1515960000,1.2
1515963600,1.2
1515967200,1.1
1515970800,1.8
1515974400,2.5
1515978000,2.6
1515981600,2.6
1515985200,3.0
1515988800,3.6
1515992400,3.9
1515996000,4.0
1515999600,3.5
1516003200,3.8
1516006800,5.0
1516010400,5.9
1516014000,6.2
1516017600,5.9
1516021200,6.0
1516024800,6.1
1516028400,6.0
1516032000,5.9
1516035600,5.8
1516039200,6.7
1516042800,7.7
1516046400,7.5
1516050000,7.1
1516053600,6.4
1516057200,6.5
1516060800,6.6
1516064400,5.5
1516068000,5.9
1516071600,6.4
1516075200,6.7
1516078800,6.6
1516082400,5.9
1516086000,3.9
1516089600,4.4
1516093200,5.2
1516096800,6.0
1516100400,6.5
1516104000,6.0
1516107600,6.5
1516111200,5.8
1516114800,5.7
1516118400,4.9
1516122000,4.3
1516125600,3.9
1516129200,4.1
1516132800,4.4
1516136400,4.0
1516140000,2.5
1516143600,3.1
1516147200,2.9
1516150800,3.2
1516154400,3.5
1516158000,3.4
1516161600,2.9
1516165200,3.0
1516168800,3.0
1516172400,3.4
1516176000,3.2
1516179600,4.2
1516183200,5.1
1516186800,5.5
1516190400,5.3
1516194000,5.1
1516197600,5.9
1516201200,5.6
1516204800,5.5
1516208400,5.7
1516212000,5.8
1516215600,5.7
1516219200,5.9
1516222800,5.5
1516226400,5.2
1516230000,4.7
1516233600,4.7
1516237200,4.2
1516240800,3.5
1516244400,3.1
1516248000,4.3
1516251600,8.4
1516255200,10.0
1516258800,9.9
1516262400,6.3
1516266000,5.6
1516269600,5.9
1516273200,5.0
1516276800,5.2
1516280400,5.0
1516284000,4.7
1516287600,4.7
1516291200,4.5
1516294800,3.8
1516298400,2.0
1516302000,1.7
1516305600,2.7
1516309200,3.0
1516312800,3.2
1516316400,2.5
1516320000,2.8
1516323600,3.2
1516327200,3.4
1516330800,2.8
1516334400,2.7
1516338000,2.5
1516341600,3.8
1516345200,3.7
1516348800,3.9
1516352400,5.0
1516356000,5.4
1516359600,6.7
1516363200,5.8
1516366800,5.9
1516370400,4.6
1516374000,4.3
1516377600,3.8
1516381200,3.2
1516384800,3.0
1516388400,2.9
1516392000,1.5
1516395600,2.7
1516399200,2.2
1516402800,2.4
1516406400,1.7
1516410000,2.2
1516413600,1.9
1516417200,1.7
1516420800,1.3
1516424400,1.3
1516428000,0.9
1516431600,1.2
1516435200,1.2
1516438800,1.9
1516442400,2.7
1516446000,3.2
1516449600,3.5
1516453200,3.6
1516456800,3.4
1516460400,3.3
1516464000,2.8
1516467600,2.1
1516471200,1.7
1516474800,1.8
1516478400,2.7
1516482000,2.7
1516485600,2.5
1516489200,1.5
1516492800,-0.3
1516496400,1.6
1516500000,1.8
1516503600,1.1
1516507200,0.6
1516510800,1.1
1516514400,1.1
1516518000,0.3
1516521600,2.9
1516525200,4.7
1516528800,5.1
1516532400,6.2
1516536000,6.6
1516539600,5.9
1516543200,5.3
1516546800,4.5
1516550400,3.6
1516554000,3.4
1516557600,3.3
1516561200,3.3
1516564800,3.3
1516568400,2.8
1516572000,2.3
1516575600,2.0
1516579200,2.2
1516582800,2.4
1516586400,2.6
1516590000,2.9
1516593600,3.6
1516597200,5.4
1516600800,6.4
1516604400,6.8
1516608000,7.0
1516611600,7.2
1516615200,7.6
1516618800,8.3
1516622400,8.3
1516626000,8.2
1516629600,7.8
1516633200,7.5
1516636800,7.1
1516640400,6.9
1516644000,6.8
1516647600,7.2
1516651200,7.3
1516654800,7.4
1516658400,6.8
1516662000,7.1
1516665600,6.0
1516669200,5.3
1516672800,6.2
1516676400,5.5
1516680000,5.1
1516683600,5.8
1516687200,6.4
1516690800,6.8
1516694400,7.1
1516698000,7.6
1516701600,8.4
1516705200,9.4
1516708800,9.4
1516712400,8.4
1516716000,8.5
1516719600,8.4
1516723200,8.8
1516726800,9.1
1516730400,9.6
1516734000,9.9
1516737600,10.1
1516741200,10.5
1516744800,10.6
1516748400,11.2
1516752000,11.4
1516755600,11.4
1516759200,11.5
1516762800,11.5
1516766400,11.9
1516770000,12.3
1516773600,12.2
1516777200,12.4
1516780800,12.4
1516784400,12.9
1516788000,13.5
1516791600,14.0
1516795200,14.4
1516798800,14.0
1516802400,13.6
1516806000,13.4
1516809600,13.2
1516813200,13.1
1516816800,12.7
1516820400,8.5
1516824000,7.6
1516827600,7.3
1516831200,7.7
1516834800,7.7
1516838400,7.6
1516842000,7.7
1516845600,7.2
1516849200,7.4
1516852800,7.3
1516856400,7.5
1516860000,7.6
1516863600,7.5
1516867200,7.6
1516870800,7.8
1516874400,8.1
1516878000,8.8
1516881600,9.0
1516885200,9.1
1516888800,9.0
1516892400,8.7
1516896000,8.3
1516899600,7.9
1516903200,7.5
1516906800,7.1
1516910400,6.8
1516914000,6.9
1516917600,6.6
1516921200,5.0
1516924800,4.4
1516928400,3.6
1516932000,3.7
1516935600,3.2
1516939200,4.3
1516942800,4.4
1516946400,4.5
1516950000,4.2
1516953600,4.3
1516957200,4.5
1516960800,6.1
1516964400,7.2
1516968000,7.9
1516971600,7.6
1516975200,7.3
1516978800,6.4
1516982400,5.5
1516986000,5.8
1516989600,5.8
1516993200,5.9
1516996800,5.7
1517000400,5.7
1517004000,5.6
1517007600,5.6
1517011200,5.8
1517014800,5.4
1517018400,5.0
1517022000,5.2
1517025600,5.3
1517029200,5.4
1517032800,5.5
1517036400,5.7
1517040000,5.8
1517043600,5.9
1517047200,6.3
1517050800,6.4
1517054400,6.9
1517058000,6.6
1517061600,6.1
1517065200,5.8
1517068800,5.7
1517072400,5.5
1517076000,5.4
1517079600,5.4
1517083200,5.3
1517086800,6.0
1517090400,6.5
1517094000,6.9
1517097600,7.1
1517101200,7.6
1517104800,7.7
1517108400,8.5
1517112000,9.3
1517115600,9.6
1517119200,9.4
1517122800,9.4
1517126400,9.1
1517130000,9.8
1517133600,10.3
1517137200,10.5
1517140800,10.6
1517144400,10.4
1517148000,10.5
1517151600,10.3
1517155200,10.2
1517158800,10.2
1517162400,10.3
1517166000,10.4
1517169600,10.4
1517173200,10.5
1517176800,10.5
1517180400,10.6
1517184000,10.4
1517187600,10.1
1517191200,10.1
1517194800,10.0
1517198400,9.8
1517202000,9.8
1517205600,9.7
1517209200,10.0
1517212800,10.0
1517216400,10.2
1517220000,10.3
1517223600,10.5
1517227200,10.5
1517230800,10.7
1517234400,9.4
1517238000,9.4
1517241600,8.4
1517245200,7.4
1517248800,6.9
1517252400,6.5
1517256000,5.8
1517259600,5.1
1517263200,4.9
1517266800,4.7
1517270400,4.8
1517274000,3.4
1517277600,3.6
1517281200,3.6
1517284800,3.9
1517288400,4.3
1517292000,3.4
1517295600,3.8
1517299200,5.3
1517302800,5.7
1517306400,6.3
1517310000,7.2
1517313600,7.1
1517317200,7.2
1517320800,7.3
1517324400,6.2
1517328000,4.6
1517331600,3.9
1517335200,3.7
1517338800,3.6
1517342400,2.7
1517346000,2.1
1517349600,3.4
1517353200,4.5
1517356800,5.5
1517360400,5.8
1517364000,7.8
1517367600,9.2
1517371200,9.3
1517374800,9.5
1517378400,9.1
1517382000,9.0
1517385600,9.1
1517389200,8.5
1517392800,7.8
1517396400,7.5
1517400000,7.9
1517403600,5.9
1517407200,5.6
1517410800,5.4
1517414400,5.2
1517418000,5.1
1517421600,4.2
1517425200,3.3
1517428800,4.0
1517432400,4.2
1517436000,3.6
1517439600,3.8
1517443200,3.8
1517446800,2.9
1517450400,2.9
1517454000,3.1
1517457600,2.7
1517461200,2.0
1517464800,2.1
1517468400,2.0
1517472000,2.7
1517475600,3.0
1517479200,2.6
1517482800,2.4
1517486400,5.1
1517490000,5.5
1517493600,5.7
1517497200,5.1
1517500800,4.1
1517504400,4.1
1517508000,3.3
1517511600,3.0
1517515200,3.8
1517518800,3.6
1517522400,3.6
1517526000,3.4
1517529600,3.5
1517533200,4.4
1517536800,5.3
1517540400,4.9
1517544000,4.6
1517547600,4.8
1517551200,4.8
1517554800,4.2
1517558400,4.6
1517562000,5.6
1517565600,5.0
1517569200,5.8
1517572800,6.7
1517576400,6.5
1517580000,5.5
1517583600,5.4
1517587200,5.0
1517590800,4.6
1517594400,4.5
1517598000,4.1
1517601600,3.6
1517605200,2.9
1517608800,0.4
1517612400,-0.3
1517616000,0.6
1517619600,1.7
1517623200,-0.1
1517626800,0.6
1517630400,1.6
1517634000,1.7
1517637600,2.8
1517641200,3.1
1517644800,2.2
1517648400,2.9
1517652000,3.8
1517655600,3.8
1517659200,3.5
1517662800,3.4
1517666400,3.4
1517670000,3.2
1517673600,3.0
1517677200,3.0
1517680800,1.4
1517684400,1.1
1517688000,0.8
1517691600,0.9
1517695200,0.6
1517698800,-0.1
1517702400,-0.3
1517706000,-0.2
1517709600,0.0
1517713200,0.2
1517716800,0.5
1517720400,0.7
1517724000,0.6
1517727600,0.9
1517731200,2.3
1517734800,2.3
1517738400,2.4
1517742000,2.2
1517745600,3.1
1517749200,3.0
1517752800,2.8
1517756400,2.4
1517760000,2.3
1517763600,2.3
1517767200,2.4
1517770800,2.3
1517774400,1.9
1517778000,1.9
1517781600,1.9
1517785200,1.9
1517788800,1.9
1517792400,1.9
1517796000,1.8
1517799600,1.2
1517803200,1.4
1517806800,1.4
1517810400,1.1
1517814000,1.3
1517817600,1.7
1517821200,2.0
1517824800,2.4
1517828400,2.9
1517832000,2.7
1517835600,3.2
1517839200,2.7
1517842800,1.8
1517846400,0.7
1517850000,0.1
1517853600,-0.4
1517857200,-0.6
1517860800,-1.4
1517864400,-1.8
1517868000,-2.0
1517871600,-1.9
1517875200,-2.5
1517878800,-3.1
1517882400,-3.3
1517886000,-3.8
1517889600,-4.1
1517893200,-4.2
1517896800,-4.5
1517900400,-4.3
1517904000,-4.1
1517907600,-2.1
1517911200,-0.9
1517914800,0.5
1517918400,1.1
1517922000,1.5
1517925600,1.7
1517929200,0.3
1517932800,-0.8
1517936400,-1.4
1517940000,-1.9
1517943600,-2.1
1517947200,-2.6
1517950800,-3.0
1517954400,-3.3
1517958000,-3.9
1517961600,-4.2
1517965200,-4.3
1517968800,-4.5
1517972400,-5.1
1517976000,-5.4
1517979600,-6.6
1517983200,-5.5
1517986800,-4.7
1517990400,-3.4
1517994000,-1.5
1517997600,0.3
1518001200,1.0
1518004800,1.6
1518008400,1.7
1518012000,1.5
1518015600,0.9
1518019200,-0.4
1518022800,-1.4
1518026400,-3.0
1518030000,-2.5
1518033600,-2.0
1518037200,-1.8
1518040800,-2.1
1518044400,-2.4
1518048000,-1.7
1518051600,-1.0
1518055200,-0.9
1518058800,-1.2
1518062400,-1.3
1518066000,-1.1
1518069600,-1.3
1518073200,-0.8
1518076800,0.4
1518080400,1.6
1518084000,3.1
1518087600,3.2
1518091200,4.2
1518094800,4.5
1518098400,4.4
1518102000,4.0
1518105600,2.3
1518109200,2.4
1518112800,1.0
1518116400,1.0
1518120000,0.5
1518123600,0.4
1518127200,0.0
1518130800,-0.4
1518134400,0.3
1518138000,0.0
1518141600,-0.1
1518145200,-0.2
1518148800,-0.4
1518152400,-0.9
1518156000,-0.8
1518159600,-0.7
1518163200,0.4
1518166800,0.7
1518170400,1.1
1518174000,1.8
1518177600,2.0
1518181200,2.1
1518184800,2.0
1518188400,1.5
1518192000,1.1
1518195600,0.9
1518199200,0.4
1518202800,0.5
1518206400,0.5
1518210000,0.6
1518213600,0.5
1518217200,0.6
1518220800,0.7
1518224400,0.8
1518228000,0.9
1518231600,1.0
1518235200,0.8
1518238800,0.4
1518242400,0.5
1518246000,1.1
1518249600,1.7
1518253200,2.2
1518256800,3.5
1518260400,5.1
1518264000,6.6
1518267600,6.2
1518271200,6.0
1518274800,4.9
1518278400,4.3
1518282000,3.9
1518285600,3.9
1518289200,3.8
1518292800,3.5
1518296400,3.3
1518300000,2.7
1518303600,2.3
1518307200,2.5
1518310800,2.9
1518314400,3.4
1518318000,3.7
1518321600,4.0
1518325200,5.2
1518328800,5.6
1518332400,6.0
1518336000,6.5
1518339600,6.5
1518343200,6.4
1518346800,6.4
1518350400,6.6
1518354000,6.4
1518357600,5.9
1518361200,4.5
1518364800,4.3
1518368400,3.6
1518372000,3.4
1518375600,2.1
1518379200,2.3
1518382800,3.4
1518386400,3.5
1518390000,3.2
1518393600,3.3
1518397200,3.0
1518400800,3.0
1518404400,2.5
1518408000,2.6
1518411600,2.3
1518415200,2.0
1518418800,2.2
1518422400,3.3
1518426000,3.6
1518429600,3.9
1518433200,2.8
1518436800,5.9
1518440400,6.0
1518444000,4.8
1518447600,4.3
1518451200,3.6
1518454800,2.7
1518458400,2.6
1518462000,2.6
1518465600,1.5
1518469200,1.0
1518472800,1.1
1518476400,0.9
1518480000,-0.6
1518483600,0.2
1518487200,0.1
1518490800,-0.6
1518494400,-1.1
1518498000,-0.8
1518501600,-0.9
1518505200,0.2
1518508800,1.7
1518512400,3.2
1518516000,4.7
1518519600,5.3
1518523200,5.9
1518526800,6.2
1518530400,6.0
1518534000,5.1
1518537600,3.6
1518541200,2.8
1518544800,2.1
1518548400,1.5
1518552000,1.1
1518555600,0.9
1518559200,0.5
1518562800,-0.2
1518566400,-0.5
1518570000,-1.0
1518573600,-1.4
1518577200,-1.9
1518580800,-1.8
1518584400,-1.8
1518588000,-2.0
1518591600,-1.2
1518595200,0.3
1518598800,1.5
1518602400,2.6
1518606000,4.0
1518609600,5.0
1518613200,5.1
1518616800,4.8
1518620400,4.3
1518624000,4.0
1518627600,4.0
